product,img,score,title,pros,cons,body
Grisport Ranger Mid Wandelschoenen Unisex - Brown - Maat 44,https://media.s-bol.com/BrvRQwX8ZMjY/550x358.jpg,klantbeoordeling: 5 van de 5 sterren,Heerlijk wandelen,[],[],heerlijke wandelschoen lopen gelijk lekker
GEWEO Outdoorschoenen Heren - Waterdichte Wandelschoenen - Waterdicht en Ademend - Schoenen Trekking Hikingschoenen Outdoor - Universal - Bruin - Maat 44,https://media.s-bol.com/3rmnqDwDOM5p/qLBXmy/550x353.jpg,klantbeoordeling: 3 van de 5 sterren,Niet zo Comfortabel,[],[],lopen moelijk
Skechers Relment Daggett grijs wandelschoenen heren (204642 CHAR),https://media.s-bol.com/gXrm2QNGJAJr/qVRAJk/550x455.jpg,klantbeoordeling: 3 van de 5 sterren,Zit niet lekker in mijn schoen vandaag,[],"['Voldoet niet aan verwachting', 'zit niet prettig']","Jammer, dit is zeker niet de schoen die een weldaad voor je voeten is. Had hem eigenlijk terug moeten sturen. Mooi van buiten maar zit mijn in elk geval niet lekker, heb geen slechte voeten, maat is goed maar deze schoenen veroorzaken zelfs pijn."
Travelin' Svendborg - Lage Dames wandelschoenen - Waterdicht en ademend - Blauw Leer - Maat 39,https://media.s-bol.com/koLZ8OvLRgPN/xGp0OBn/550x364.jpg,klantbeoordeling: 5 van de 5 sterren,Fantastisch,"['Voldoet aan verwachting', 'Goede kwaliteit', 'Handig in gebruik']",[],Schoenen lopen heerlijk. Ook in het bos en in bergachtig gebied.In een woord Top
Travelin' Svendborg - Lage Dames wandelschoenen - Waterdicht en ademend - Blauw Leer - Maat 39,https://media.s-bol.com/koLZ8OvLRgPN/xGp0OBn/550x364.jpg,klantbeoordeling: 4 van de 5 sterren,Prettig wandelen,"['voldoet aan verwachting', 'Goede kwaliteit']",[],Lopen heerlijk met een fijne zool en leest
Travelin' Svendborg - Lage Dames wandelschoenen - Waterdicht en ademend - Blauw Leer - Maat 39,https://media.s-bol.com/koLZ8OvLRgPN/xGp0OBn/550x364.jpg,klantbeoordeling: 5 van de 5 sterren,Fijn,"['voldoet aan verwachting', 'Goede kwaliteit', 'handig in gebruik']",[],Heerlijke soepele wndelschoenen die ook warm zitten
Travelin' Svendborg - Lage Dames wandelschoenen - Waterdicht en ademend - Blauw Leer - Maat 39,https://media.s-bol.com/koLZ8OvLRgPN/xGp0OBn/550x364.jpg,klantbeoordeling: 5 van de 5 sterren,Zeer goed,['voldoet aan verwachting'],[],Comfortabel
Travelin' Nyborg - Hoge Heren wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 42,https://media.s-bol.com/7AwAgMojLq18/550x352.jpg,klantbeoordeling: 5 van de 5 sterren,Prima schoen met goede pasvorm,"['voldoet aan verwachting', 'Goede kwaliteit', 'Kleur komt overeen met afbeelding']",[],Lang gezocht naar schoenen met een brede pasvorm en heb die met deze gevonden. Vooral de teenruimte is een verademing.
Travelin' Nyborg - Hoge Heren wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 42,https://media.s-bol.com/7AwAgMojLq18/550x352.jpg,klantbeoordeling: 5 van de 5 sterren,Ze zitten als gegoten,"['Voldoet aan verwachting', 'Voldoet aan verwachting', 'Goede kwaliteit']",[],Hele fijne wandelschoenen met brede pasvorm. Ik heb ze niet in hoeven lopen ze zaten meteen goed. Het herenmodel heeft een bredere pasvorm daarom heb ik hier voor gekozen.Helaas liet bij de vierde wandeling er een haakje los waar de veter om heen moet. Ik heb dit gemeld en kreeg heel snel antwoord. Ik krijg een paar nieuwe schoenen. Nu wist ik niet wat ik moest verwachten maar dit is boven verwachting. Dit is topservice !Dank jullie wel ToExplore.
Travelin' Nyborg - Hoge Heren wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 42,https://media.s-bol.com/7AwAgMojLq18/550x352.jpg,klantbeoordeling: 5 van de 5 sterren,prima wandelschoenen,"['voldoet aan verwachting', 'Goede kwaliteit', 'handig in gebruik']",[],"fijne pasvorm, mooi materiaal"
Travelin' Nyborg - Hoge Heren wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 42,https://media.s-bol.com/7AwAgMojLq18/550x352.jpg,klantbeoordeling: 5 van de 5 sterren,Heel goed,"['voldoet aan verwachting', 'Goede kwaliteit']",[],Perfecte pasvorm en lopen lekker
Travelin' Nyborg - Hoge Heren wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 42,https://media.s-bol.com/7AwAgMojLq18/550x352.jpg,klantbeoordeling: 4 van de 5 sterren,Toppie,"['voldoet aan verwachting', 'Goede kwaliteit', 'Kleur komt overeen met afbeelding']",[],Goede keus
Travelin' Nyborg - Hoge Heren wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 42,https://media.s-bol.com/7AwAgMojLq18/550x352.jpg,klantbeoordeling: 5 van de 5 sterren,Goeie wandelschoenen,"['Voldoet aan verwachting', 'Goede kwaliteit']",[],"Goeie wandelschoenen, zitten perfect. Reeds een aantal wandelingen mee gedaan intussen, enkel positieve ervaringen."
Meindl borneo ii mfs- 9.,https://media.s-bol.com/o773rpj54mqA/qx8Npk/550x521.jpg,klantbeoordeling: 5 van de 5 sterren,Zeer goed,"['voldoet aan verwachting', 'Goede kwaliteit']",[],Twee pluspunten: voldoet aan verwachting en goede kwaliteit.
Merrell Erie Mid Leather WP Wandelschoenen Dames - Zwart - Maat 40,https://media.s-bol.com/xoQ7R7g2RA9q/k5yj8ZY/550x358.jpg,klantbeoordeling: 5 van de 5 sterren,Heerlijke wandelschoenen,[],[],"Zitten heerlijk! Goede grip, lekker comfort, licht van gewicht en waterdicht! Top!"
Merrell Erie Mid Leather WP Wandelschoenen Dames - Zwart - Maat 40,https://media.s-bol.com/xoQ7R7g2RA9q/k5yj8ZY/550x358.jpg,klantbeoordeling: 5 van de 5 sterren,Heerlijke wandelschoenen.,[],[],Snelle levering.
Merrell Erie Mid Leather WP Wandelschoenen Dames - Zwart - Maat 40,https://media.s-bol.com/xoQ7R7g2RA9q/k5yj8ZY/550x358.jpg,klantbeoordeling: 5 van de 5 sterren,10 voor 7mijls schoenen,"['Voldoet aan verwachting', 'Goede kwaliteit', 'Handig in gebruik']",[],Echt super schoen loopt als sneaker en grip als een bergschoen.
Teva M RIDGEVIEW RP Heren Wandelschoenen - Maat 42,https://media.s-bol.com/DEJgGwxQWlny/vllpvL/550x304.jpg,klantbeoordeling: 5 van de 5 sterren,lekker lopen,"['Voldoet aan verwachting', 'Goede kwaliteit', 'Handig in gebruik']",[],Na ontvangst elke dag gedragen
Grisport Ranger Mid - heren waterdichte mid wandelschoenen - beige,https://media.s-bol.com/vLNPlg8jEgVm/ERpzlW/550x379.jpg,klantbeoordeling: 5 van de 5 sterren,Grisport veel buiten gedragen,['Voldoet aan verwachting'],[],Zat eerst wat krap maar loopt nu als gegoten.Kunnen regelmatig gebruik aan.Met de veters is strakte af te stellen.Mooi profiel.Fijne hielsteun.
Grisport Ranger Mid - heren waterdichte mid wandelschoenen - beige,https://media.s-bol.com/vLNPlg8jEgVm/ERpzlW/550x379.jpg,klantbeoordeling: 5 van de 5 sterren,Heerlijk wandelen,[],[],heerlijke wandelschoen lopen gelijk lekker
Columbia Woodburn II Wandelschoenen Heren Waterdicht - Ademend - Bruin - Maat 41,https://media.s-bol.com/GAq159Z6vnrK/NyR14p/550x335.jpg,klantbeoordeling: 5 van de 5 sterren,Toppie,['Goede kwaliteit'],[],Gewoon goed
Grisport Torino Mid Wandelschoenen Unisex - Black - Maat 43,https://media.s-bol.com/Rnwkkw7NQ09R/k1Q57E/550x514.jpg,klantbeoordeling: 1 van de 5 sterren,"Zeer slechte kwaliteit, niet kopen!","['Kleur komt overeen met afbeelding', 'Gebruiksvriendelijk']","['voldoet niet aan verwachting', 'slechte kwaliteit', 'slechte prijs/kwaliteit verhouding']","Deze schoenen zijn erg slecht. Het eerste paar dat ik bestelde had na +/- 4 (ongeveer 450 kilometer lopen) weken de beide zolen van links naar rechts volledig doorgescheurd. Ik kreeg van Bol (super service!) een nieuw paar toegestuurd en dat is na ongeveer de zelfde tijd en afstand in dezelfde staat. Ik krijg nu mijn geld van Bol terug, maar ik zal dit merk 'schoenen' nooit meer kopen. Wees gewaarschuwd, deze schoenen gaan maximaal 500 kilometer mee!!!"
Grisport Torino Mid Wandelschoenen Unisex - Black - Maat 43,https://media.s-bol.com/Rnwkkw7NQ09R/k1Q57E/550x514.jpg,klantbeoordeling: 2 van de 5 sterren,"Helaas, slechte kwaliteit",[],"['voldoet niet aan verwachting', 'slechte kwaliteit']","In juni besteld, helaas valt de zool uit nu al volledig uit elkaar. Erg teleurstellend.. de lage variant beviel mij beter, helaas niet meer te verkrijgen"
